club,label
http://www.wikidata.org/entity/Q11971354,Førde IL
http://www.wikidata.org/entity/Q11987169,Lysekloster IL
http://www.wikidata.org/entity/Q12001056,Skjetten Sportsklubb
http://www.wikidata.org/entity/Q12050697,SK Líšeň
http://www.wikidata.org/entity/Q12175012,FC Zimbru-2 Chișinău
http://www.wikidata.org/entity/Q12177559,Juticalpa F.C.
http://www.wikidata.org/entity/Q12654379,FK Palanga
http://www.wikidata.org/entity/Q12760440,FK Budućnost Dobanovci
http://www.wikidata.org/entity/Q10292276,Grêmio Desportivo Prudente
http://www.wikidata.org/entity/Q10305358,Jaraguá Esporte Clube
http://www.wikidata.org/entity/Q10332750,Moura AC
http://www.wikidata.org/entity/Q10336377,Nerópolis Esporte Clube
http://www.wikidata.org/entity/Q10367756,Santa Catarina Clube
http://www.wikidata.org/entity/Q10372563,Social Esportiva Vitória
http://www.wikidata.org/entity/Q10372656,Maringá Futebol Clube
http://www.wikidata.org/entity/Q10373812,Sport Club Aymorés
http://www.wikidata.org/entity/Q10388036,União Futebol Comércio e Indústria
http://www.wikidata.org/entity/Q10388081,União Recreativa e Desportiva de Tires
http://www.wikidata.org/entity/Q10394747,Ytterhogdals IK
http://www.wikidata.org/entity/Q10624111,Dinamo Soukhoumi
http://www.wikidata.org/entity/Q10751871,QNK Quang Nam F.C.
http://www.wikidata.org/entity/Q10839880,Ølstykke-Stenløse
http://www.wikidata.org/entity/Q11033076,Boldklubben Herning Fremad
http://www.wikidata.org/entity/Q11193588,Chalkidona F.C.
http://www.wikidata.org/entity/Q11705120,Vilobí Club de Futbol
http://www.wikidata.org/entity/Q11715062,JKS Jarosław
http://www.wikidata.org/entity/Q11821976,Polonia Gdańsk
http://www.wikidata.org/entity/Q11822009,KS Polonia Środa Wielkopolska
http://www.wikidata.org/entity/Q11870986,Kerho 07
http://www.wikidata.org/entity/Q11947663,Santfeliuenc Futbol Club
http://www.wikidata.org/entity/Q11970463,Frøyland IL
http://www.wikidata.org/entity/Q12247469,Al-Rawdhah Club
http://www.wikidata.org/entity/Q12247499,Al Urooba
http://www.wikidata.org/entity/Q12247597,Tuwaiq Club
http://www.wikidata.org/entity/Q12297358,FC Botev Ihtiman
http://www.wikidata.org/entity/Q12297401,FC Oborishte
http://www.wikidata.org/entity/Q12310875,FC Djursland
http://www.wikidata.org/entity/Q12589091,Gimpo Football Club
http://www.wikidata.org/entity/Q12630865,FK Mladost Doboj Kakanj
http://www.wikidata.org/entity/Q12760457,FK Železničar Pančevo
http://www.wikidata.org/entity/Q12760468,FK Zvijezda 09
http://www.wikidata.org/entity/Q12872680,A.E. Irakleio F.C
http://www.wikidata.org/entity/Q12872831,AEZ Zakakiou
http://www.wikidata.org/entity/Q12874255,Achyronas Liopetriou
http://www.wikidata.org/entity/Q12879083,Kissos FC Kissonergas
http://www.wikidata.org/entity/Q13423234,Lynx FC
http://www.wikidata.org/entity/Q16208409,ACS Ksar
http://www.wikidata.org/entity/Q16249523,NŠ Drava Ptuj
http://www.wikidata.org/entity/Q16256009,Kokand 1912
http://www.wikidata.org/entity/Q16323078,U.S.D. San Severo
http://www.wikidata.org/entity/Q16488878,Arsenal F.C.
http://www.wikidata.org/entity/Q16549788,Cumbayá Fútbol Club
http://www.wikidata.org/entity/Q16556545,Football Club Lugano (féminines)
http://www.wikidata.org/entity/Q16623565,Queens Park Rangers Sports Club
http://www.wikidata.org/entity/Q16682015,Union sportive de la Sainte-Anne de Vertou
http://www.wikidata.org/entity/Q16736174,Vipolže Stadium
http://www.wikidata.org/entity/Q16828238,NK Brinje-Grosuplje
http://www.wikidata.org/entity/Q16837310,Etar Veliko Tarnovo
http://www.wikidata.org/entity/Q16837337,Centro de Futebol Zico de Brasília
http://www.wikidata.org/entity/Q16837600,Switchbacks de Colorado Springs
http://www.wikidata.org/entity/Q16838804,Essendon Royals SC
http://www.wikidata.org/entity/Q16839383,FK Shkupi
http://www.wikidata.org/entity/Q13463676,FK Obolon Kiev
http://www.wikidata.org/entity/Q13598815,NK Metalleghe-BSI
http://www.wikidata.org/entity/Q14161251,FK Tambov
http://www.wikidata.org/entity/Q14428120,NŠ Mura
http://www.wikidata.org/entity/Q104099625,Gimcheon Sangmu FC
http://www.wikidata.org/entity/Q104422415,CS Saint-Hubert
http://www.wikidata.org/entity/Q104605993,Club Deportivo Real Tomayapo
http://www.wikidata.org/entity/Q104866334,ESA Linas-Montlhéry
http://www.wikidata.org/entity/Q105144613,Club de Deportes Limache
http://www.wikidata.org/entity/Q14760430,Widnes F.C.
http://www.wikidata.org/entity/Q15126760,SV Oberachern
http://www.wikidata.org/entity/Q15220495,Digenis Oroklinis
http://www.wikidata.org/entity/Q15266049,Peterborough Sports F.C.
http://www.wikidata.org/entity/Q15294976,Sportivo Ameliano
http://www.wikidata.org/entity/Q15301637,Club sportif de Saint-Denis
http://www.wikidata.org/entity/Q15377305,Andover Town F.C.
http://www.wikidata.org/entity/Q15384017,FK Krasnodar-2
http://www.wikidata.org/entity/Q15533609,Svay Rieng Football Club
http://www.wikidata.org/entity/Q107406697,FC Rot-Weiß Koblenz
http://www.wikidata.org/entity/Q107645694,Zagłębie Lubin II
http://www.wikidata.org/entity/Q108457563,Clube de Futebol Estrela da Amadora
http://www.wikidata.org/entity/Q108649606,FC Lamezia Terme
http://www.wikidata.org/entity/Q108749732,AFC Ajax
http://www.wikidata.org/entity/Q109138294,Hauts Lyonnais
http://www.wikidata.org/entity/Q105654131,Dewa United FC
http://www.wikidata.org/entity/Q106829403,Émulation sportive du Grau-du-Roi
http://www.wikidata.org/entity/Q107366003,Bourges FC
http://www.wikidata.org/entity/Q15616878,AFC Fortuna Poiana Câmpina
http://www.wikidata.org/entity/Q15700191,Hwaseong FC
http://www.wikidata.org/entity/Q15846575,1874 Northwich F.C.
http://www.wikidata.org/entity/Q15848270,Olympique de Valence
http://www.wikidata.org/entity/Q15849956,SG Barockstadt Fulda-Lehnerz
http://www.wikidata.org/entity/Q15917432,Suzhou Dongwu
http://www.wikidata.org/entity/Q15943996,Lijiang Jiayunhao F.C.
http://www.wikidata.org/entity/Q15987233,Spartakos Kitiou
http://www.wikidata.org/entity/Q16125121,Lekhwiya
http://www.wikidata.org/entity/Q109311677,La Tamponnaise
http://www.wikidata.org/entity/Q109507628,GC Lucciana
http://www.wikidata.org/entity/Q109507714,US Chauvigny
http://www.wikidata.org/entity/Q109507747,US Vimy
http://www.wikidata.org/entity/Q109973982,FCO Strasbourg Koenigshoffen 1906
http://www.wikidata.org/entity/Q111162309,Club Gualberto Villarroel
http://www.wikidata.org/entity/Q111951146,Lexington SC
http://www.wikidata.org/entity/Q113992829,FC Paradiso
http://www.wikidata.org/entity/Q115104762,Vancouver Football Club
http://www.wikidata.org/entity/Q115660428,FC Clivense
http://www.wikidata.org/entity/Q116225350,Club de Futbol Reddis
http://www.wikidata.org/entity/Q119666327,RC Calais
http://www.wikidata.org/entity/Q119804968,Olympique Akbou
http://www.wikidata.org/entity/Q120881664,Alcione Milano 1952
http://www.wikidata.org/entity/Q137826389,Makedonikos Football Club
http://www.wikidata.org/entity/Q141043106,VfB Friedrichshafen
http://www.wikidata.org/entity/Q123376316,Yunnan Yukun F.C.
http://www.wikidata.org/entity/Q125421573,One Taguig F.C.
http://www.wikidata.org/entity/Q126009453,Calcio Caldiero Terme
http://www.wikidata.org/entity/Q131735881,Anzoátegui Fútbol Club
http://www.wikidata.org/entity/Q133461772,Scottland FC
http://www.wikidata.org/entity/Q133502976,IF Urædd AIL
http://www.wikidata.org/entity/Q133566447,Dolomiti Bellunesi Calcio
http://www.wikidata.org/entity/Q135415841,Union Brescia
http://www.wikidata.org/entity/Q137821330,GS Diagoras Rhodes
